State,Year,Group_Name,Sub_Group_Name,Cases_Acquitted,Cases_Chargesheeted,Cases_Convicted,Pending_Investigation_End,Pending_Trial_End,Cases_Reported,Cases_Sent_for_Trial,Trials_Completed,Total_Cases_for_Trial
Chhattisgarh,2009,Rape,01. Rape,612,982,219,95,3545,976,982,831,4377
Dadra & Nagar Haveli,2009,Rape,01. Rape,1,4,1,5,13,4,4,2,15
Daman & Diu,2009,Rape,01. Rape,0,1,0,0,1,1,1,0,1
Delhi,2009,Rape,01. Rape,198,440,178,65,1368,469,440,376,1744
Goa,2009,Rape,01. Rape,18,24,7,48,61,47,24,25,86
Gujarat,2009,Rape,01. Rape,150,377,33,82,2540,433,377,183,2725
Haryana,2009,Rape,01. Rape,350,525,125,89,889,603,525,475,1364
Himachal Pradesh,2009,Rape,01. Rape,89,176,29,56,446,183,176,118,564
Jammu & Kashmir,2009,Rape,01. Rape,194,196,12,84,961,237,196,206,1173
Jharkhand,2009,Rape,01. Rape,428,687,294,682,1595,719,687,722,2340
Karnataka,2009,Rape,01. Rape,309,401,33,172,1170,509,401,342,1522
Kerala,2009,Rape,01. Rape,283,615,53,482,3427,568,615,336,3764
Lakshadweep,2009,Rape,01. Rape,0,0,0,0,2,1,0,0,2
Madhya Pradesh,2009,Rape,01. Rape,1716,2951,562,223,7797,2998,2951,2278,10083
Maharashtra,2009,Rape,01. Rape,771,1433,182,515,11855,1483,1433,953,12812
Manipur,2009,Rape,01. Rape,0,5,0,146,62,31,5,0,62
Meghalaya,2009,Rape,01. Rape,16,67,7,249,414,112,67,23,437
Mizoram,2009,Rape,01. Rape,8,86,58,15,90,83,86,66,156
Nagaland,2009,Rape,01. Rape,1,25,10,2,36,22,25,11,47
Odisha,2009,Rape,01. Rape,527,834,146,930,3679,1023,834,673,4352
Puducherry,2009,Rape,01. Rape,2,8,4,2,32,1,8,6,38
Punjab,2009,Rape,01. Rape,307,440,158,148,498,511,440,465,963
Rajasthan,2009,Rape,01. Rape,385,967,221,140,2530,1519,967,606,3150
Sikkim,2009,Rape,01. Rape,12,19,5,16,58,18,19,17,76
Tamil Nadu,2009,Rape,01. Rape,315,515,91,439,1443,596,515,406,1856
Tripura,2009,Rape,01. Rape,72,169,24,74,579,190,169,96,677
Uttar Pradesh,2009,Rape,01. Rape,730,1312,623,98,4366,1759,1312,1353,5719
Uttarakhand,2009,Rape,01. Rape,45,98,49,4,239,111,98,94,333
West Bengal,2009,Rape,01. Rape,731,1572,130,2108,10518,2336,1572,861,11381
Andaman & Nicobar Islands,2010,Rape,01. Rape,0,20,0,17,65,24,20,0,65
Andhra Pradesh,2010,Rape,01. Rape,890,1210,141,768,2579,1362,1210,1031,3616
Arunachal Pradesh,2010,Rape,01. Rape,2,34,4,36,509,47,34,6,517
Assam,2010,Rape,01. Rape,431,1110,95,2525,4765,1721,1110,526,5335
Bihar,2010,Rape,01. Rape,646,533,227,1126,3281,795,533,873,4154
Chandigarh,2010,Rape,01. Rape,17,29,14,12,46,31,29,31,77
Chhattisgarh,2010,Rape,01. Rape,621,942,204,131,3660,1012,942,825,4487
Dadra & Nagar Haveli,2010,Rape,01. Rape,2,4,2,4,13,3,4,4,17
Daman & Diu,2010,Rape,01. Rape,0,1,0,0,2,1,1,0,2
Delhi,2010,Rape,01. Rape,266,449,141,78,1410,507,449,407,1817
Goa,2010,Rape,01. Rape,22,44,5,36,78,36,44,27,105
Gujarat,2010,Rape,01. Rape,154,391,33,70,2742,408,391,187,2931
Haryana,2010,Rape,01. Rape,343,590,113,105,1023,720,590,456,1479
Himachal Pradesh,2010,Rape,01. Rape,89,139,21,49,474,160,139,110,585
Jammu & Kashmir,2010,Rape,01. Rape,140,177,3,96,994,245,177,143,1138
Jharkhand,2010,Rape,01. Rape,425,705,171,621,1687,773,705,596,2300
Karnataka,2010,Rape,01. Rape,296,512,54,199,1331,586,512,350,1682
Kerala,2010,Rape,01. Rape,211,644,45,435,3815,634,644,256,4071
Lakshadweep,2010,Rape,01. Rape,0,0,0,0,2,0,0,0,2
Madhya Pradesh,2010,Rape,01. Rape,1974,3089,777,199,8108,3135,3089,2751,10886
Maharashtra,2010,Rape,01. Rape,902,1458,146,606,12254,1599,1458,1048,13313
Manipur,2010,Rape,01. Rape,2,4,1,165,63,34,4,3,66
Meghalaya,2010,Rape,01. Rape,5,80,4,306,483,149,80,9,494
Mizoram,2010,Rape,01. Rape,3,94,84,13,97,92,94,87,184
